store_name,overall_score,one_line_summary,main_strengths,main_weaknesses,caution_points,recommended_menus,menu_reactions,recent_trend,recommended_customer,not_recommended_customer,final_summary
오리엔탈가든,5.0,다양한 동남아 음식을 맛볼 수 있는 최고의 맛집.,"['맛과 품질이 뛰어난 다양한 동남아 음식', '친절한 서비스', '깨끗한 매장 환경', '혼밥 적합성']",[],[],"[{'menu': '마라쌀국수', 'reason': '얼얼하고 칼칼한 맛이 뛰어나며, 혼자서도 즐기기 좋은 양.', 'confidence': 0.986}, {'menu': '뿌빳뽕커리', 'reason': '부드러운 게와 좋은 퀄리티로 혼자서도 즐길 수 있는 메뉴.', 'confidence': 0.988}, {'menu': '나시고랭', 'reason': '동남아 음식의 정수를 느낄 수 있는 인기 메뉴.', 'confidence': 0.95}, {'menu': '쌀국수', 'reason': '맛이 뛰어나고 양이 많아 만족스러운 식사 경험 제공.', 'confidence': 0.981}, {'menu': '팟타이', 'reason': '전반적으로 맛있고 누구에게나 호불호 없는 메뉴.', 'confidence': 0.95}]","[{'menu': '마라쌀국수', 'positive_reaction': '너무 맛있습니다!!', 'negative_or_caution_reaction': ''}, {'menu': '뿌빳뽕커리', 'positive_reaction': '좋은 퀄리티의 뿌빳뽕커리를 혼자서도 먹을 수 있어 좋습니다.', 'negative_or_caution_reaction': ''}, {'menu': '나시고랭', 'positive_reaction': '최고의 맛입니다.', 'negative_or_caution_reaction': ''}, {'menu': '쌀국수', 'positive_reaction': '맛 최고입니다.', 'negative_or_caution_reaction': ''}, {'menu': '팟타이', 'positive_reaction': '모두가 좋아할 맛입니다.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서도 지속적으로 긍정적인 반응이 이어지고 있으며, 다양한 메뉴에 대한 선호가 높음.","혼자서 식사하기 좋은 환경을 원하는 고객, 동남아 음식을 좋아하는 고객.","특정한 맛을 선호하는 고객, 혼잡한 환경을 싫어하는 고객.","오리엔탈가든은 다양한 동남아 음식을 제공하며, 뛰어난 맛과 친절한 서비스로 고객들에게 높은 만족도를 주고 있는 맛집입니다."
명가양꼬치,5.0,모든 리뷰에서 긍정적인 평가를 받은 인기 양꼬치 맛집.,"['맛있는 양꼬치와 양갈비', '친절한 서비스', '청결한 환경', '가성비 좋은 메뉴', '다양한 메뉴 선택']",[],[],"[{'menu': '양꼬치', 'reason': '부드럽고 맛있다는 평가가 많음.', 'confidence': 0.979}, {'menu': '양갈비', 'reason': '양꼬치와 함께 높은 만족도를 보임.', 'confidence': 0.975}, {'menu': '꽃빵튀김', 'reason': '서비스로 제공되어 긍정적인 반응.', 'confidence': 0.97}]","[{'menu': '양꼬치', 'positive_reaction': '부드럽고 맛있다는 리뷰 다수.', 'negative_or_caution_reaction': '특별한 언급 없음.'}, {'menu': '양갈비', 'positive_reaction': '맛있고 질 좋은 고기라는 평가.', 'negative_or_caution_reaction': '특별한 언급 없음.'}, {'menu': '꽃빵튀김', 'positive_reaction': '서비스로 제공되어 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 언급 없음.'}]",최근 리뷰에서도 지속적으로 긍정적인 반응이 이어지고 있음.,양꼬치를 좋아하는 모든 고객.,특별한 메뉴를 찾는 고객.,"명가양꼬치는 모든 리뷰에서 긍정적인 평가를 받고 있는 맛집으로, 양꼬치와 양갈비의 뛰어난 맛과 친절한 서비스, 청결한 환경이 고객들에게 큰 만족을 주고 있습니다."
런던베이글뮤지엄 수원,4.0,"다양한 베이글과 뛰어난 맛, 가성비로 인기 있는 베이글 전문점.","['다양한 베이글 종류', '쫄깃하고 촉촉한 식감', '독특한 풍미', '친절한 서비스', '가성비 좋은 맛']",[],[],"[{'menu': '무화과 베이글', 'reason': '다양한 베이글 중에서 특히 맛과 식감이 뛰어남.', 'confidence': 0.8}, {'menu': '블루베리 베이글', 'reason': '풍미가 진하고 쫄깃한 식감으로 호평.', 'confidence': 0.8}, {'menu': '스프링 어니언 프레첼', 'reason': '독특한 풍미로 기억에 남는 메뉴.', 'confidence': 0.8}, {'menu': '단호박 베이글', 'reason': '은은한 단맛으로 부담 없이 즐길 수 있음.', 'confidence': 0.8}, {'menu': '어니언 크림 베이글', 'reason': '풍미가 뛰어나고 만족도가 높음.', 'confidence': 0.8}]",[],최근 리뷰에서 대기 없이 입장할 수 있는 점과 다양한 메뉴에 대한 긍정적인 반응이 많음.,"베이글을 좋아하는 사람, 다양한 맛을 경험하고 싶은 고객.",베이글을 선호하지 않거나 가격에 민감한 고객.,"런던베이글뮤지엄 수원은 다양한 베이글과 뛰어난 맛, 가성비로 많은 사랑을 받고 있는 곳입니다. 친절한 서비스와 트렌디한 매장 분위기도 방문객들에게 긍정적인 경험을 제공합니다."
삼봉집,5.0,친절한 서비스와 뛰어난 고기 및 홍어 요리로 고객들의 높은 만족도를 얻고 있는 맛집.,"['친절한 서비스', '고기의 맛', '홍어 요리의 품질', '반찬의 맛']",[],[],"[{'menu': '오겹살', 'reason': '고기가 질이 좋고 맛있다는 리뷰가 많음.', 'confidence': 0.95}, {'menu': '홍어', 'reason': '홍어의 맛이 뛰어나고 서비스도 좋다는 긍정적인 피드백이 많음.', 'confidence': 0.95}, {'menu': '갈비살', 'reason': '특히 맛있다는 리뷰가 많아 추천됨.', 'confidence': 0.9}, {'menu': '항정살', 'reason': '묵은지와의 조화가 인상적이라는 리뷰가 있음.', 'confidence': 0.85}]","[{'menu': '오겹살', 'positive_reaction': '고기가 맛있고 질이 좋다는 긍정적인 반응이 많음.', 'negative_or_caution_reaction': '가격이 비싸다는 언급이 있음.'}, {'menu': '홍어', 'positive_reaction': '홍어의 맛이 뛰어나다는 리뷰가 많음.', 'negative_or_caution_reaction': '비린맛이 없다는 긍정적인 피드백이 있음.'}, {'menu': '갈비살', 'positive_reaction': '특히 맛있다는 언급이 많음.', 'negative_or_caution_reaction': '특별한 언급 없음.'}, {'menu': '항정살', 'positive_reaction': '묵은지와의 조화가 좋다는 리뷰가 있음.', 'negative_or_caution_reaction': '특별한 언급 없음.'}]","최근 리뷰에서 모든 고객이 긍정적인 경험을 공유하고 있으며, 특히 서비스와 고기 맛에 대한 언급이 많음.","고기와 홍어 요리를 좋아하는 고객, 친절한 서비스를 중시하는 고객.","가격에 민감한 고객, 비린맛을 싫어하는 고객.","삼봉집은 친절한 서비스와 뛰어난 고기 및 홍어 요리로 고객들에게 높은 만족도를 제공하는 맛집입니다. 모든 리뷰가 긍정적이며, 특히 고기와 홍어의 맛이 뛰어난 것으로 평가받고 있습니다."
개성집 구운점,5.0,코다리찜과 해산물 요리의 뛰어난 맛과 양으로 높은 만족도를 자랑하는 맛집.,"['코다리찜의 뛰어난 맛과 품질', '신선한 갑오징어', '푸짐한 양과 맛', '모임에 적합한 음식']",[],[],"[{'menu': '코다리찜', 'reason': '높은 만족도와 뛰어난 맛으로 추천됨.', 'confidence': 0.94}, {'menu': '갑오징어', 'reason': '신선함과 맛이 뛰어나 추천됨.', 'confidence': 0.94}, {'menu': '매콤명', 'reason': '맛있고 매콤한 요리로 긍정적인 반응이 많음.', 'confidence': 0.94}, {'menu': '갈비조림', 'reason': '맛과 양이 뛰어나 모임에 적합함.', 'confidence': 0.94}, {'menu': '영양돌솥밥', 'reason': '맛있고 푸짐한 양으로 추천됨.', 'confidence': 0.94}]","[{'menu': '코다리찜', 'positive_reaction': '최고의 맛과 품질로 많은 리뷰에서 극찬받음.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '갑오징어', 'positive_reaction': '신선하고 맛있다는 긍정적인 반응이 많음.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '매콤명', 'positive_reaction': '맛있고 매콤하다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '갈비조림', 'positive_reaction': '맛과 양이 뛰어나 모임에 적합하다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '영양돌솥밥', 'positive_reaction': '맛있고 푸짐하다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}]","최근 리뷰에서도 높은 긍정적인 반응이 지속되고 있으며, 고객들의 만족도가 매우 높음.",가족 모임이나 친구들과 함께 맛있는 음식을 즐기고 싶은 고객.,특별한 주의가 필요한 고객이나 매우 까다로운 입맛을 가진 고객.,"개성집 구운점은 코다리찜과 해산물 요리의 뛰어난 맛과 양으로 고객들에게 큰 사랑을 받고 있으며, 가족 모임이나 친구들과 함께 방문하기에 적합한 맛집입니다."
수해복마라탕 성대점,4.0,친절한 서비스와 맛있는 마라탕으로 높은 만족도를 자랑하는 음식점.,"['친절한 서비스', '맛있는 음식', '깔끔한 환경']","['서비스 태도 문제', '소통 오류']",['서비스와 소통에서의 문제'],"[{'menu': '마라탕', 'reason': '고객들이 맛있다고 극찬하며 재방문 의사를 표현', 'confidence': 0.8585752969717279}, {'menu': '마라샹궈', 'reason': '음식의 맛에 대한 긍정적인 반응', 'confidence': 0.8585752969717279}]","[{'menu': '마라탕', 'positive_reaction': '맛있고 친절한 서비스', 'negative_or_caution_reaction': '소통 오류가 발생할 수 있음'}, {'menu': '두부어묵', 'positive_reaction': '음식의 맛', 'negative_or_caution_reaction': '서비스 태도 문제'}]","최근 리뷰에서도 긍정적인 반응이 많으며, 맛과 서비스에 대한 언급이 지속적으로 이어짐.","맛있는 음식을 찾는 고객, 친절한 서비스를 중시하는 고객","서비스에 민감한 고객, 소통 문제를 경험하고 싶지 않은 고객","수해복마라탕 성대점은 맛있는 마라탕과 친절한 서비스로 많은 고객들에게 사랑받고 있지만, 서비스와 소통에서의 문제로 주의가 필요하다."
홍구등갈비 본점,4.0,"맛있는 등갈비와 점심 특선 메뉴로 높은 만족도를 자랑하지만, 서비스 품질에 대한 불만이 존재합니다.","['등갈비의 맛과 양이 뛰어남', '점심 특선 메뉴의 맛과 품질이 우수함', '다양한 사이드 메뉴 제공']","['서비스 부족으로 인한 고객 불만', '저녁 시간대 음식 품질 저하']","['단체 손님 우선으로 서비스가 소홀해질 수 있음', '저녁 메뉴의 양과 품질이 점심과 다를 수 있음']","[{'menu': '등갈비', 'reason': '가격 대비 푸짐하고 맛있음', 'confidence': 0.95}, {'menu': '제육숯불구이', 'reason': '점심 특선으로 맛있고 반찬이 잘 나옴', 'confidence': 0.9}, {'menu': '고등어구이', 'reason': '맛있고 신선한 반찬으로 호평', 'confidence': 0.85}]","[{'menu': '등갈비', 'positive_reaction': '맛있고 양이 푸짐함', 'negative_or_caution_reaction': '서비스 부족으로 실망할 수 있음'}, {'menu': '제육숯불구이', 'positive_reaction': '점심 특선으로 맛있음', 'negative_or_caution_reaction': '저녁에는 품질 저하 가능성'}, {'menu': '고등어구이', 'positive_reaction': '신선하고 맛있음', 'negative_or_caution_reaction': '특별한 부정적 반응 없음'}]","최근 리뷰에서 긍정적인 반응이 많지만, 서비스에 대한 불만도 증가하고 있음.",맛있는 고기를 즐기고 점심 특선을 선호하는 고객,서비스 품질을 중요시하는 고객,"홍구등갈비 본점은 맛있는 등갈비와 점심 특선 메뉴로 높은 평가를 받고 있으나, 서비스 품질에 대한 불만이 있어 주의가 필요합니다."
곤드레마을,5.0,가족과 함께 즐기기 좋은 집밥 스타일의 맛집.,"['가족 친화적인 분위기', '맛있는 생선구이와 다양한 반찬', '친절한 서비스', '청결한 환경']",[],[],"[{'menu': '생선구이', 'reason': '신선하고 맛있으며, 비린맛이 없다는 리뷰가 많음.', 'confidence': 0.972}, {'menu': '간장게장', 'reason': '짠맛이 적고 맛있다는 긍정적인 언급이 많음.', 'confidence': 0.97}, {'menu': '곤드레밥', 'reason': '정갈하고 맛있다는 리뷰가 다수.', 'confidence': 0.988}, {'menu': '된장찌개', 'reason': '맛있고 집밥 같은 느낌을 준다는 리뷰가 있음.', 'confidence': 0.989}]","[{'menu': '생선구이', 'positive_reaction': '신선하고 잘 구워져서 맛있다는 반응이 많음.', 'negative_or_caution_reaction': '특별한 부정적인 반응 없음.'}, {'menu': '간장게장', 'positive_reaction': '짠맛이 적고 맛있다는 긍정적인 반응.', 'negative_or_caution_reaction': '부정적인 반응 없음.'}, {'menu': '곤드레밥', 'positive_reaction': '정갈하고 맛있다는 반응.', 'negative_or_caution_reaction': '부정적인 반응 없음.'}, {'menu': '된장찌개', 'positive_reaction': '맛있고 집밥 같은 느낌을 준다는 반응.', 'negative_or_caution_reaction': '부정적인 반응 없음.'}]","최근 리뷰에서도 긍정적인 반응이 지속적으로 나타나고 있으며, 가족 단위 방문이 많음.","가족 단위 고객, 집밥 스타일의 음식을 선호하는 고객.",특별한 고급 요리를 찾는 고객.,"곤드레마을은 가족과 함께 방문하기 좋은 집밥 스타일의 맛집으로, 신선한 생선구이와 다양한 반찬, 친절한 서비스가 돋보입니다. 모든 리뷰가 긍정적이며, 특히 가족 단위 고객에게 추천합니다."
일성 율전동본점,5.0,신선한 사시미와 다양한 일식 메뉴로 높은 만족도를 제공하는 음식점.,"['신선한 사시미', '다양한 하이볼', '친절한 서비스', '좋은 분위기', '맛있는 가라아게']",[],[],"[{'menu': '사시미 모리아와세', 'reason': '신선함과 맛이 뛰어나며, 많은 리뷰에서 긍정적으로 언급됨.', 'confidence': 0.95}, {'menu': '가라아게', 'reason': '바삭하고 맛있다는 리뷰가 많아 추천됨.', 'confidence': 0.95}, {'menu': '프리미엄 조개 술찜', 'reason': '술 안주로 최적이라는 긍정적인 반응이 많음.', 'confidence': 0.95}, {'menu': '하이볼', 'reason': '다양한 종류와 맛으로 많은 고객이 만족함.', 'confidence': 0.95}]","[{'menu': '사시미', 'positive_reaction': '신선하고 맛있다는 평가가 많음.', 'negative_or_caution_reaction': '없음'}, {'menu': '가라아게', 'positive_reaction': '바삭하고 맛있다는 리뷰가 많음.', 'negative_or_caution_reaction': '없음'}, {'menu': '프리미엄 조개 술찜', 'positive_reaction': '술 안주로 최고라는 긍정적인 반응.', 'negative_or_caution_reaction': '없음'}, {'menu': '하이볼', 'positive_reaction': '다양한 종류와 맛으로 만족도가 높음.', 'negative_or_caution_reaction': '없음'}]","최근 리뷰에서도 지속적으로 긍정적인 반응이 이어지고 있으며, 재방문 의사가 높음.",신선한 해산물과 다양한 일식을 즐기고 싶은 고객.,특별한 불만이나 부정적인 경험을 원하는 고객.,"일성 율전동본점은 신선한 사시미와 다양한 일식 메뉴로 고객들에게 높은 만족도를 제공하며, 친절한 서비스와 좋은 분위기로 재방문 의사가 높은 음식점입니다."
마라섬 정자직영점,5.0,청결하고 맛있는 마라탕을 제공하는 가족 친화적인 음식점.,"['청결한 매장', '신선한 재료', '다양한 메뉴 선택', '친절한 서비스', '가족 친화적']",[],[],"[{'menu': '마라탕', 'reason': '신선한 재료와 다양한 양념 선택으로 고객 만족도가 높음.', 'confidence': 0.95}, {'menu': '꿔바로우', 'reason': '바삭하고 맛있는 맛으로 긍정적인 평가를 받음.', 'confidence': 0.9}, {'menu': '딤섬', 'reason': '육즙이 풍부하고 맛있다는 리뷰가 많음.', 'confidence': 0.85}, {'menu': '계란볶음밥', 'reason': '메뉴의 다양성으로 인해 추천됨.', 'confidence': 0.8}]","[{'menu': '마라탕', 'positive_reaction': '신선한 재료와 깊은 맛으로 고객들에게 큰 호평을 받음.', 'negative_or_caution_reaction': '없음'}, {'menu': '꿔바로우', 'positive_reaction': '바삭하고 맛있다는 긍정적인 반응.', 'negative_or_caution_reaction': '없음'}, {'menu': '딤섬', 'positive_reaction': '육즙이 풍부하고 맛있다는 리뷰가 많음.', 'negative_or_caution_reaction': '없음'}, {'menu': '계란볶음밥', 'positive_reaction': '메뉴의 다양성으로 인해 추천됨.', 'negative_or_caution_reaction': '없음'}]",최근 리뷰에서 청결함과 맛에 대한 긍정적인 피드백이 지속적으로 이어지고 있음.,가족 단위 방문객 및 마라탕을 좋아하는 고객.,특별한 부정적인 경험을 원하는 고객.,"마라섬 정자직영점은 청결하고 맛있는 마라탕을 제공하며, 가족 단위 방문객에게 적합한 환경을 갖춘 음식점입니다. 고객들은 신선한 재료와 다양한 메뉴 선택에 대해 높은 만족도를 보이고 있습니다."
스타벅스 스타필드수원1F점,4.0,편안한 공간과 친절한 서비스로 긍정적인 방문 경험을 제공하는 스타벅스.,"['커피와 음료의 맛', '편안한 좌석과 넓은 공간', '친절한 서비스']","['음식의 신선도 문제', '혼잡한 시간대 대기 시간']","['유통기한이 임박한 제품 제공 가능성', '주말 및 혼잡 시간대 방문 시 대기 시간 길어짐']","[{'menu': '아메리카노', 'reason': '커피의 맛에 대한 긍정적인 언급이 많음.', 'confidence': 0.85}, {'menu': '카페라떼', 'reason': '고객들이 추천하는 인기 음료.', 'confidence': 0.85}, {'menu': '콜라보 음료', 'reason': '특별한 음료 경험에 대한 긍정적인 반응.', 'confidence': 0.85}]","[{'menu': '크랜베리샌드위치', 'positive_reaction': '기대 이하의 신선도', 'negative_or_caution_reaction': '유통기한 문제'}]","최근 리뷰에서도 긍정적인 경험이 많지만, 신선도 문제에 대한 언급도 증가하고 있음.",편안한 공간에서 커피를 즐기고 싶은 고객.,신선한 음식을 중시하는 고객.,"스타벅스 스타필드수원1F점은 커피와 음료의 맛, 편안한 좌석, 친절한 서비스로 많은 긍정적인 평가를 받고 있지만, 음식의 신선도 문제와 혼잡한 시간대의 대기 시간에 주의해야 합니다."
호호식당 스타필드수원,4.0,가족 친화적인 분위기와 맛있는 음식으로 높은 만족도를 자랑하는 식당.,"['친절한 서비스', '맛있는 음식', '가족 친화적인 환경', '빠른 회전율']",[],['웨이팅이 발생할 수 있음'],"[{'menu': '사케동', 'reason': '신선하고 부드러운 연어로 많은 고객들이 만족함.', 'confidence': 0.9}, {'menu': '히레카츠', 'reason': '겉은 바삭하고 속은 촉촉하여 많은 긍정적인 리뷰를 받음.', 'confidence': 0.9}, {'menu': '로스카츠', 'reason': '부드럽고 촉촉한 맛으로 재방문 의사가 높음.', 'confidence': 0.9}, {'menu': '스키야키', 'reason': '고객들이 맛있다고 언급하며 추천하는 인기 메뉴.', 'confidence': 0.85}]","[{'menu': '사케동', 'positive_reaction': '신선하고 부드러운 맛으로 만족도가 높음.', 'negative_or_caution_reaction': ''}, {'menu': '히레카츠', 'positive_reaction': '겉바속촉의 완벽한 조화로 많은 고객들이 극찬.', 'negative_or_caution_reaction': ''}, {'menu': '로스카츠', 'positive_reaction': '부드럽고 촉촉한 맛으로 재방문 의사 높음.', 'negative_or_caution_reaction': ''}, {'menu': '스키야키', 'positive_reaction': '고객들이 맛있다고 언급하며 추천하는 인기 메뉴.', 'negative_or_caution_reaction': ''}]","최근 리뷰에서도 긍정적인 반응이 많으며, 가족 단위 방문객이 많아지고 있음.","가족 단위 방문객, 맛있는 음식을 찾는 고객",웨이팅을 피하고 싶은 고객,"호호식당 스타필드수원은 가족 친화적인 서비스와 맛있는 음식으로 높은 만족도를 제공하는 식당입니다. 웨이팅이 발생할 수 있으나, 전반적으로 긍정적인 리뷰가 많아 추천할 만한 곳입니다."
롯데리아 수원율현점,4.0,간편한 저녁 식사와 맛있는 버거로 긍정적인 경험을 제공하는 음식점.,"['간편한 저녁 식사 가능', '맛있는 버거 (특히 새우버거, 데리버거)', '친절한 서비스', '푸짐한 양']","['음식 품질 저하', '서비스 지연']",['음료 준비 상태 문제'],"[{'menu': '새우버거', 'reason': '맛과 품질에 대한 긍정적인 언급이 많음.', 'confidence': 0.95}, {'menu': '데리버거', 'reason': '신선한 재료와 조리 상태에 대한 칭찬이 두드러짐.', 'confidence': 0.95}]","[{'menu': '햄버거', 'positive_reaction': '혼자 먹기도 좋고 간편함.', 'negative_or_caution_reaction': '음식 품질 저하와 서비스 지연에 대한 불만.'}, {'menu': '콜라', 'positive_reaction': '음료와 함께 즐길 수 있는 메뉴.', 'negative_or_caution_reaction': '미리 준비된 음료의 품질 문제.'}]","최근 리뷰에서 긍정적인 경험이 지속적으로 언급되고 있으며, 특히 버거의 맛과 서비스에 대한 만족도가 높음.",혼자서 간편한 저녁 식사를 원하는 고객.,음식 품질과 서비스에 민감한 고객.,"롯데리아 수원율현점은 간편한 저녁 식사와 맛있는 버거로 많은 고객들에게 긍정적인 경험을 제공하고 있으나, 음식 품질과 서비스 지연에 대한 주의가 필요하다."
미진축산 수원성대점,5.0,"고기 품질과 가성비가 뛰어난 맛집으로, 가족 모임이나 회식에 적합한 장소입니다.","['고기 품질', '가성비', '매장 환경', '친절한 서비스']",[],[],"[{'menu': '삼겹살', 'reason': '고기 질이 우수하고 다양한 조합으로 즐길 수 있어 인기.', 'confidence': 0.99}, {'menu': '비빔면', 'reason': '후식으로 제공되며, 고객들 사이에서 긍정적인 반응.', 'confidence': 0.9}, {'menu': '볶음밥', 'reason': '다양한 메뉴 선택지 중 하나로, 만족도가 높음.', 'confidence': 0.85}]","[{'menu': '고기', 'positive_reaction': '고기 질이 좋고 가성비가 뛰어나다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '곁들임 반찬', 'positive_reaction': '기본찬 리필이 잘 되고 조합이 다양하다는 긍정적인 반응.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}]",최근 리뷰에서 고기 품질과 가성비에 대한 긍정적인 언급이 지속적으로 이어지고 있음.,"가족 단위 방문객, 회식 모임을 원하는 고객.",고급 레스토랑을 선호하는 고객.,"미진축산 수원성대점은 고기 품질과 가성비가 뛰어난 맛집으로, 다양한 메뉴와 친절한 서비스로 고객들의 만족도가 높습니다. 가족 모임이나 회식에 적합한 장소로 추천합니다."
성대지붕,5.0,야외에서 즐기는 맛있는 음식과 친절한 서비스가 돋보이는 장소입니다.,"['야외 분위기', '친절한 직원', '맛있는 음식', '쾌적한 환경', '다양한 메뉴']",[],[],[],[],"최근 리뷰에서 긍정적인 반응이 지속적으로 나타나고 있으며, 특히 야외 분위기와 음식의 맛에 대한 언급이 많습니다.","야외에서 음주를 즐기고 싶은 고객, 좋은 분위기에서 식사를 원하는 고객","실내에서 식사를 선호하는 고객, 조용한 분위기를 원하는 고객","성대지붕은 야외에서의 식사 경험과 친절한 서비스로 고객들에게 높은 만족도를 주고 있으며, 다양한 메뉴와 쾌적한 환경이 특징입니다."
육회바른연어 수원성대점,5.0,신선한 육회와 연어를 가성비 좋게 즐길 수 있는 맛집.,"['신선한 재료', '우수한 가성비', '친절한 서비스', '깔끔한 매장', '빠른 음식 제공']",[],[],"[{'menu': '육회덮밥', 'reason': '신선하고 맛있으며 가성비가 뛰어남.', 'confidence': 0.978}, {'menu': '연어덮밥', 'reason': '두툼하고 신선한 연어로 만족도가 높음.', 'confidence': 0.979}, {'menu': '간장연어장덮밥', 'reason': '신메뉴로 고객들의 긍정적인 반응이 많음.', 'confidence': 0.964}, {'menu': '육회초밥', 'reason': '신선한 재료로 만든 초밥으로 호평.', 'confidence': 0.978}, {'menu': '육회쫄면', 'reason': '맛있고 가성비가 좋다는 리뷰가 많음.', 'confidence': 0.975}]",[],"최근 리뷰에서 신선함과 가성비에 대한 긍정적인 언급이 지속적으로 나타나고 있으며, 고객들의 재방문 의사가 높음.","가성비 좋은 맛집을 찾는 모든 고객, 가족 단위 방문객.",고급스러운 분위기를 선호하는 고객.,"육회바른연어 수원성대점은 신선한 육회와 연어를 합리적인 가격에 제공하며, 친절한 서비스와 깔끔한 매장으로 고객들에게 긍정적인 경험을 선사하는 맛집입니다."
양뜰양꼬치,5.0,신선한 양꼬치와 편안한 분위기로 인기를 끌고 있는 맛집.,"['신선한 양꼬치', '부드러운 고기 질감', '친절한 서비스', '편안한 매장 분위기', '넓은 공간']",[],[],"[{'menu': '양꼬치', 'reason': '신선하고 맛있어 자주 찾는 메뉴', 'confidence': 0.95}, {'menu': '양갈비', 'reason': '부드럽고 맛있어 인기가 높음', 'confidence': 0.95}, {'menu': '숙주볶음', 'reason': '서비스로 제공되어 긍정적인 반응', 'confidence': 0.9}]","[{'menu': '양꼬치', 'positive_reaction': '신선하고 맛있다는 평이 많음', 'negative_or_caution_reaction': '잡내가 없다는 긍정적인 언급'}, {'menu': '양갈비', 'positive_reaction': '부드럽고 맛있다는 평이 많음', 'negative_or_caution_reaction': '특별한 부정적 반응 없음'}, {'menu': '숙주볶음', 'positive_reaction': '서비스로 제공되어 긍정적인 반응', 'negative_or_caution_reaction': '특별한 부정적 반응 없음'}]",최근 리뷰에서도 신선한 재료와 맛있는 음식에 대한 긍정적인 반응이 지속되고 있음.,양꼬치와 중국 음식을 좋아하는 고객,"특별한 부정적 반응이 없으나, 고기 요리를 선호하지 않는 고객","양뜰양꼬치는 신선한 양꼬치와 부드러운 고기로 많은 사랑을 받고 있으며, 편안한 분위기와 친절한 서비스로 재방문 의사가 높은 맛집입니다."
일월수목원 카페 데이지원,4.0,"아름다운 뷰와 건강한 디저트가 매력적인 카페, 그러나 서비스와 품질에 대한 불만이 존재합니다.","['아름다운 뷰', '맛있는 음료 및 디저트', '건강한 재료 사용']","['서비스 부족', '음료 품질 문제', '청결 문제']","['혼잡한 주말에는 정신없는 분위기', '아이스크림 품질 및 가격에 대한 불만']","[{'menu': '딸기 크레이프', 'reason': '뷰와 함께 즐기기 좋은 디저트', 'confidence': 0.75}, {'menu': '어니스트 밀크', 'reason': '건강한 재료로 만든 맛있는 음료', 'confidence': 0.75}, {'menu': '뉴욕 치즈케이크', 'reason': '기대 이상의 맛을 제공하는 디저트', 'confidence': 0.75}]","[{'menu': '아이스크림', 'positive_reaction': '없음', 'negative_or_caution_reaction': '품질과 가격에 대한 불만'}, {'menu': '호두커피', 'positive_reaction': '맛있다는 긍정적인 반응', 'negative_or_caution_reaction': '없음'}, {'menu': '자몽허니 블랙티', 'positive_reaction': '뷰와 함께 마시니 더 맛있다는 반응', 'negative_or_caution_reaction': '없음'}]","긍정적인 리뷰가 많지만, 서비스와 품질에 대한 불만이 여전히 존재함.",자연 속에서 힐링을 원하는 고객,서비스 품질을 중시하는 고객,"일월수목원 카페 데이지원은 아름다운 경치와 건강한 디저트로 많은 사랑을 받고 있지만, 서비스와 품질 문제로 인해 주의가 필요합니다."
천년풍천장어,4.0,신선하고 맛있는 장어와 친절한 서비스가 돋보이는 음식점.,"['장어의 신선함', '친절한 직원 서비스', '가격 대비 높은 퀄리티', '편리한 셀프 시스템']","['직원의 불친절한 태도', '서비스 소통 부족']",['직원 서비스 품질에 대한 불만이 존재'],"[{'menu': '장어', 'reason': '신선하고 맛있으며, 고객들이 높은 만족도를 보임.', 'confidence': 0.9}, {'menu': '장어탕', 'reason': '고객들이 맛있다고 언급하며 추천.', 'confidence': 0.85}, {'menu': '물냉면', 'reason': '고객들이 반찬으로 언급하며 긍정적인 반응.', 'confidence': 0.8}]","[{'menu': '장어', 'positive_reaction': '신선하고 맛있다는 긍정적인 반응이 많음.', 'negative_or_caution_reaction': '직원 서비스와 관련된 불만이 일부 존재.'}, {'menu': '장어탕', 'positive_reaction': '맛있다는 긍정적인 언급이 있음.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}, {'menu': '물냉면', 'positive_reaction': '고객들이 맛있다고 언급.', 'negative_or_caution_reaction': '특별한 부정적 반응 없음.'}]","최근 리뷰에서 긍정적인 반응이 많고, 특히 가격 대비 퀄리티에 대한 언급이 자주 나타남.",신선한 해산물과 친절한 서비스를 선호하는 고객.,직원 서비스 품질에 민감한 고객.,"천년풍천장어는 신선하고 맛있는 장어와 친절한 서비스로 높은 고객 만족도를 얻고 있지만, 일부 직원의 서비스 태도에 대한 불만이 존재하여 주의가 필요하다."
